playlist_name,playlist_img,track_name,track_uri,artist_name,album_name,album_img
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Zingara,4errMlpDiqr9cO0V16MLjQ,Iva Zanicchi,Festival Di Sanremo Vol. 2,https://i.scdn.co/image/5a5310396a505e3d453812bd6eaa4374e3499ae7
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Chi Non Lavora Non Fa L'Amore - Remastered,5QNEUi7oFTKcOrEMzLA9uV,Claudia Mori,Claudiamoricollection,https://i.scdn.co/image/5e861ab7f5203f73be06fa202583f09baf522433
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Il cuore è uno zingaro,6btqpuwCTK96dSc7TpShgk,Nada,Italian Love Songs,https://i.scdn.co/image/8b640279ba1b883c862dfba47571b76bcac21c7c
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Il Cuore E' Uno Zingaro (El Corazon Es Un Gitano),5DRD6ORAoilGd5bTuzOG8D,Nicola Di Bari,Serie Platino,https://i.scdn.co/image/9643dd78a32adedcd9ab2e313335cc70b9ab12a6
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,I Giorni Del Arcobaleno (Los Dias Del Arcoiris),0oNTJpKhjSGg4XCmaZtrRl,Nicola Di Bari,Serie Platino,https://i.scdn.co/image/9643dd78a32adedcd9ab2e313335cc70b9ab12a6
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Un Grande Amore E Niente Più,23jtJJJHw9lJecTueJzWqm,Peppino Di Capri,Collection - Se Non E' Amore,https://i.scdn.co/image/7b5aa41f7bd9e500562dfa893e37513cc1f2f3e7
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Ciao cara come stai,6HbX7iRGsPrPhitaPJJzmP,Iva Zanicchi,"Italian Classics: Iva Zanicchi Collection, Vol. 2",https://i.scdn.co/image/f688f6006c3c79153c7fc8a13383d3b996ce16dd
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Bella da morire,3lxmdu9X9a6SVysg1dCpkr,Homo Sapiens,I Supergruppi,https://i.scdn.co/image/72f6993d6881516e883b88c894abfd3d96cad273
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,E dirsi ciao - 2011 - Remaster;,1WDq68GSnceTftxZRfdz7n,Matia Bazar,Fantasia: Best & rarities,https://i.scdn.co/image/b2724bc153405bff84310660930310caf48d9b09
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Amare,2gC7gI5pp9HxczXtDUe3yk,Mino Vergnaghi,Best of Mino Vergnaghi,https://i.scdn.co/image/7e9356d000b5af1aa9af857cd646aa3f13153df0
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Solo noi,52PTQKkfOwng8lv7ttNdGX,Toto Cutugno,Ritratto di Toto Cutugno,https://i.scdn.co/image/83d40db576d54551e6647a9d72d065d4464f2ccb
